#-----------------------------------------------------------------------------
# Date d'extraction : 09/09/2024 - 13h01 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : FEU_METEO2022
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORNSV23 : Sécheresse Feu Météo modérée (jour)
#     NORNSV24 : Sécheresse Feu Météo élevée (jour)
#     NORNSV25 : Sécheresse Feu Météo très élevée (jour)
#     NORIFM20 : Indicateur feux de forêt nbj sup à 20 (jour)
#     NORIFM40 : Indicateur feux de forêt nbj sup à 40 (jour)
#     NORIFM60 : Indicateur feux de forêt nbj sup à 60 (jour)
#     NORIFMxAV : IFMx moyen
#     NORIFMxq80 : Q80 IFMx
#     NORIEPx4 : Danger Feu Météo végétation morte Elevé (jour)
#     NORIEPx5 : Danger Feu Météo végétation morte Très Elevé (jour)
#     NORIFMx50 : Danger Feu Météo végétation vivante Elevé (jour)
#     NORIFMx80 : Danger Feu Météo végétation vivante Très Elevé (jour)
#     NORIS400 : Sécheresse profonde Feu Météo modérée (jour)
#     NORIS700 : Sécheresse profonde Feu Météo élevée (jour)
#     NORIS1000 : Sécheresse profonde Feu Météo très élevée (jour)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORNSV23;NORNSV24;NORNSV25;NORIFM20;NORIFM40;NORIFM60;NORIFMxAV;NORIFMxq80;NORIEPx4;NORIEPx5;NORIFMx50;NORIFMx80;NORIS400;NORIS700;NORIS1000;
#-----------------------------------------------------------------------------
15097;49.1004;3.924;RCP8.5;H1;20;2;0;21;3;1;4.71;7.98;35;7;1;0;41;0;0;
15098;49.0989;4.0335;RCP8.5;H1;17;2;0;20;3;1;4.68;7.91;35;7;1;0;40;0;0;
15099;49.0973;4.1429;RCP8.5;H1;17;2;0;20;3;1;4.86;8.2;36;8;1;0;47;0;0;
15100;49.0956;4.2523;RCP8.5;H1;21;2;0;22;3;1;4.33;7.13;33;6;1;0;49;1;0;
15101;49.0938;4.3618;RCP8.5;H1;23;2;0;19;2;1;4.31;7.09;32;6;1;0;48;1;0;
15102;49.0919;4.4712;RCP8.5;H1;23;2;0;19;2;1;4.28;7.08;31;6;1;0;46;0;0;
15103;49.0899;4.5806;RCP8.5;H1;22;2;0;18;2;0;4.23;6.95;30;6;1;0;48;0;0;
15104;49.0878;4.69;RCP8.5;H1;22;2;0;17;2;0;4.15;6.79;30;6;1;0;45;0;0;
15105;49.0856;4.7994;RCP8.5;H1;21;2;0;17;2;0;4.11;6.72;33;7;1;0;34;0;0;
15106;49.0833;4.9088;RCP8.5;H1;15;2;0;17;2;0;4.12;6.67;33;7;1;0;36;0;0;
15107;49.0809;5.0182;RCP8.5;H1;15;2;0;17;2;0;4.53;7.53;38;8;2;0;26;0;0;
15108;49.0784;5.1275;RCP8.5;H1;13;2;0;19;3;1;4.52;7.55;37;9;2;0;26;0;0;
15109;49.0758;5.2369;RCP8.5;H1;14;1;0;19;3;1;4.36;7.11;39;10;2;0;19;0;0;
15110;49.0731;5.3462;RCP8.5;H1;12;1;0;18;3;1;4.81;8.23;43;10;2;0;31;1;0;
15111;49.0703;5.4556;RCP8.5;H1;16;2;0;21;3;1;4.76;8.19;42;10;2;0;28;1;0;
15112;49.0674;5.5649;RCP8.5;H1;15;1;0;21;3;1;4.59;7.91;39;9;1;0;27;0;0;
15113;49.0644;5.6742;RCP8.5;H1;15;1;0;19;3;1;5.02;8.62;43;10;2;0;33;1;0;
15114;49.0613;5.7835;RCP8.5;H1;17;2;0;23;4;1;5.03;8.5;44;11;2;0;32;1;0;
15115;49.0581;5.8928;RCP8.5;H1;17;2;0;23;4;1;4.79;8.11;40;9;2;0;34;1;0;
15116;49.0548;6.002;RCP8.5;H1;17;2;0;22;3;1;4.39;7.28;39;9;1;0;25;1;0;
15117;49.0514;6.1113;RCP8.5;H1;15;2;0;19;3;1;5.3;9.17;45;11;2;0;44;4;0;
15118;49.0479;6.2205;RCP8.5;H1;22;4;0;25;4;1;5.3;9;46;12;2;0;44;3;0;
15119;49.0443;6.3297;RCP8.5;H1;23;3;0;26;4;1;5.04;8.54;43;11;2;0;38;2;0;
15120;49.0406;6.4389;RCP8.5;H1;20;3;0;24;4;1;4.96;8.37;42;11;2;0;35;2;0;
15121;49.0368;6.5481;RCP8.5;H1;20;3;0;23;4;1;4.63;7.73;42;10;2;0;27;1;0;
15122;49.0329;6.6573;RCP8.5;H1;17;2;0;21;4;1;4.6;7.72;40;10;1;0;31;0;0;
15123;49.0289;6.7665;RCP8.5;H1;14;2;0;21;4;1;4.12;6.67;35;8;1;0;25;0;0;
15124;49.0248;6.8756;RCP8.5;H1;12;1;0;17;3;0;4.24;7;36;8;1;0;28;0;0;
15125;49.0206;6.9847;RCP8.5;H1;13;1;0;18;3;0;4.31;7.2;37;7;1;0;28;0;0;
15126;49.0163;7.0938;RCP8.5;H1;14;2;0;18;3;0;4.41;7.41;38;8;1;0;28;0;0;
15127;49.0119;7.2029;RCP8.5;H1;15;2;0;18;3;0;4.22;7;36;8;1;0;23;1;0;
15128;49.0074;7.312;RCP8.5;H1;13;2;0;17;3;1;4.05;6.65;34;7;1;0;20;1;0;
15129;49.0028;7.4211;RCP8.5;H1;12;2;0;16;2;0;4.04;6.65;35;7;1;0;20;2;0;
15130;48.9981;7.5301;RCP8.5;H1;11;2;0;17;2;1;4.31;7.22;37;8;1;0;21;2;0;
15131;48.9933;7.6391;RCP8.5;H1;12;3;0;18;3;0;3.95;6.47;33;7;1;0;20;2;0;
15132;48.9884;7.7481;RCP8.5;H1;11;3;0;16;2;0;4.12;6.74;36;8;1;0;20;2;0;
15133;48.9834;7.8571;RCP8.5;H1;12;3;0;17;3;0;4.21;6.91;37;8;1;0;24;3;0;
15134;48.9783;7.966;RCP8.5;H1;14;3;0;18;3;0;3.77;6.27;34;5;1;0;21;3;0;
15135;48.9732;8.0749;RCP8.5;H1;13;3;0;15;2;0;3.81;6.35;34;6;1;0;23;3;0;
15136;48.9679;8.1838;RCP8.5;H1;14;3;0;16;2;0;3.84;6.44;35;5;1;0;23;3;0;
15239;49.1737;3.8166;RCP8.5;H1;20;2;0;23;3;1;5.04;8.61;39;9;1;0;50;0;0;
15240;49.1723;3.9262;RCP8.5;H1;21;2;0;23;3;1;5.05;8.58;39;9;1;0;49;0;0;
15241;49.1708;4.0358;RCP8.5;H1;20;2;0;23;3;1;4.81;8.19;36;8;1;0;47;0;0;
15242;49.1692;4.1454;RCP8.5;H1;21;2;0;21;3;1;4.97;8.37;38;9;1;0;53;0;0;
15243;49.1675;4.255;RCP8.5;H1;23;2;0;23;3;1;5.18;8.83;39;9;2;0;58;2;0;
15244;49.1657;4.3646;RCP8.5;H1;28;2;0;24;3;1;4.29;7.05;32;6;1;0;47;1;0;
15245;49.1638;4.4742;RCP8.5;H1;23;2;0;18;2;1;4.32;7.15;31;6;1;0;47;0;0;
15246;49.1618;4.5837;RCP8.5;H1;23;2;0;18;2;0;4.2;6.87;30;6;1;0;46;0;0;
15247;49.1597;4.6933;RCP8.5;H1;21;2;0;17;2;0;4.07;6.51;33;7;1;0;31;0;0;
15248;49.1575;4.8028;RCP8.5;H1;14;1;0;16;2;0;4.18;6.91;34;7;1;0;36;0;0;
15249;49.1552;4.9124;RCP8.5;H1;16;2;0;17;2;0;4.04;6.68;33;6;1;0;36;0;0;
15250;49.1528;5.0219;RCP8.5;H1;14;2;0;16;2;0;4.52;7.64;38;8;2;0;26;0;0;
15251;49.1503;5.1314;RCP8.5;H1;12;1;0;19;3;0;4.46;7.44;37;8;2;0;24;0;0;
15252;49.1477;5.2409;RCP8.5;H1;12;2;0;19;3;1;4.35;7.23;36;8;2;0;21;0;0;
15253;49.145;5.3504;RCP8.5;H1;12;1;0;18;3;1;4.48;7.57;36;8;1;0;29;1;0;
15254;49.1421;5.4599;RCP8.5;H1;15;2;0;19;3;1;4.16;6.91;34;7;1;0;18;0;0;
15255;49.1392;5.5694;RCP8.5;H1;12;1;0;17;2;1;4.34;7.42;35;7;1;0;28;1;0;
15256;49.1362;5.6788;RCP8.5;H1;15;2;0;18;2;0;4.43;7.45;36;8;1;0;27;1;0;
15257;49.1331;5.7883;RCP8.5;H1;15;2;0;19;3;0;5;8.52;43;10;2;0;38;2;0;
15258;49.1299;5.8977;RCP8.5;H1;20;3;0;24;3;1;4.88;8.28;42;10;2;0;35;2;0;
15259;49.1266;6.0071;RCP8.5;H1;19;2;0;23;3;1;4.33;7.15;38;8;1;0;23;1;0;
15260;49.1232;6.1165;RCP8.5;H1;15;2;0;18;3;1;4.66;7.92;41;9;2;0;30;1;0;
15261;49.1197;6.2259;RCP8.5;H1;17;2;0;21;3;1;5.28;8.97;46;12;2;0;44;3;0;
15262;49.1161;6.3353;RCP8.5;H1;23;3;0;26;4;1;5.01;8.46;43;11;2;0;36;2;0;
15263;49.1124;6.4447;RCP8.5;H1;20;3;0;23;4;1;4.64;7.71;42;10;2;0;27;1;0;
15264;49.1086;6.554;RCP8.5;H1;17;2;0;21;3;1;4.38;7.17;39;9;1;0;24;1;0;
15265;49.1047;6.6633;RCP8.5;H1;15;2;0;19;3;1;4.5;7.5;41;10;1;0;26;0;0;
15266;49.1007;6.7726;RCP8.5;H1;15;2;0;20;3;1;4.59;7.69;42;10;1;0;28;0;0;
15267;49.0966;6.8819;RCP8.5;H1;15;2;0;21;3;1;4.62;7.83;42;10;1;0;27;0;0;
15268;49.0924;6.9912;RCP8.5;H1;15;2;0;21;3;0;4.72;8.13;43;9;1;0;30;1;0;
15269;49.0881;7.1005;RCP8.5;H1;16;2;0;22;3;0;4.75;8.18;43;9;1;0;30;1;0;
15270;49.0837;7.2097;RCP8.5;H1;16;2;0;22;3;0;4.12;6.74;35;8;1;0;19;1;0;
15271;49.0792;7.3189;RCP8.5;H1;13;2;0;17;3;0;4.15;6.8;36;8;1;0;20;1;0;
15272;49.0746;7.4281;RCP8.5;H1;13;2;0;17;3;0;4.02;6.56;34;7;1;0;18;2;0;
15273;49.0699;7.5373;RCP8.5;H1;11;3;0;16;3;0;4.06;6.75;34;7;1;0;18;2;0;
15381;49.2469;3.7089;RCP8.5;H1;23;2;0;22;3;1;5.24;8.95;40;10;2;0;60;0;0;
15382;49.2456;3.8187;RCP8.5;H1;26;2;0;25;3;1;5.24;9.01;40;9;2;0;57;0;0;
15383;49.2442;3.9284;RCP8.5;H1;25;2;0;25;3;1;5.44;9.45;42;10;2;0;65;0;0;
15384;49.2427;4.0382;RCP8.5;H1;27;2;0;26;3;1;5.54;9.41;43;11;2;0;71;1;0;
15385;49.2411;4.1479;RCP8.5;H1;28;2;0;27;4;1;4.21;6.87;32;6;1;0;48;0;0;
15386;49.2394;4.2577;RCP8.5;H1;18;2;0;18;2;0;4.22;6.9;32;6;1;0;47;0;0;
15387;49.2375;4.3674;RCP8.5;H1;21;2;0;18;2;0;4.22;6.9;32;6;1;0;47;0;0;
15388;49.2356;4.4771;RCP8.5;H1;21;2;0;18;2;0;4.22;6.9;31;6;1;0;47;0;0;
15389;49.2336;4.5869;RCP8.5;H1;21;2;0;18;2;0;4.19;6.95;30;6;1;0;48;0;0;
15390;49.2315;4.6966;RCP8.5;H1;21;2;0;17;2;0;3.97;6.27;32;7;1;0;21;0;0;
15391;49.2293;4.8063;RCP8.5;H1;11;1;0;16;2;0;4.24;7.07;34;7;1;0;37;0;0;
15392;49.227;4.916;RCP8.5;H1;16;1;0;18;2;0;3.96;6.58;31;6;1;0;31;0;0;
15393;49.2246;5.0256;RCP8.5;H1;14;1;0;16;2;0;4.53;7.67;38;8;1;0;22;0;0;
15394;49.2221;5.1353;RCP8.5;H1;12;1;0;20;3;0;4.39;7.37;36;8;1;0;21;0;0;
15395;49.2195;5.245;RCP8.5;H1;12;1;0;18;3;1;4.42;7.46;36;8;2;0;22;0;0;
15396;49.2168;5.3546;RCP8.5;H1;12;1;0;19;3;1;4.49;7.64;36;8;1;0;27;1;0;
15397;49.214;5.4643;RCP8.5;H1;15;2;0;19;3;1;4.16;7.04;34;7;1;0;22;0;0;
15398;49.2111;5.5739;RCP8.5;H1;13;1;0;17;2;0;4.47;7.76;36;8;1;0;30;1;0;
15399;49.2081;5.6835;RCP8.5;H1;16;2;0;19;2;0;4.4;7.4;36;8;1;0;26;1;0;
15400;49.2049;5.7931;RCP8.5;H1;15;2;0;19;3;0;4.9;8.32;42;10;2;0;36;2;0;
15401;49.2017;5.9027;RCP8.5;H1;19;2;0;23;3;1;4.93;8.36;42;10;2;0;36;2;0;
15402;49.1984;6.0122;RCP8.5;H1;19;2;0;23;3;1;4.42;7.32;39;9;1;0;23;1;0;
15403;49.195;6.1218;RCP8.5;H1;15;2;0;20;3;1;5.06;8.6;44;12;1;0;37;2;0;
15404;49.1915;6.2313;RCP8.5;H1;20;3;0;25;4;1;5.33;9.19;46;12;2;0;42;3;0;
15405;49.1879;6.3409;RCP8.5;H1;22;3;0;26;4;1;4.86;8.21;42;10;2;0;35;2;0;
15406;49.1842;6.4504;RCP8.5;H1;19;3;0;22;4;1;4.74;7.98;43;10;1;0;30;1;0;
15407;49.1804;6.5599;RCP8.5;H1;17;2;0;22;4;1;4.39;7.16;40;10;1;0;26;1;0;
15408;49.1765;6.6694;RCP8.5;H1;15;2;0;20;3;1;4.72;8;44;10;1;0;30;1;0;
15410;49.1683;6.8883;RCP8.5;H1;16;2;0;22;3;0;4.65;7.85;44;10;1;0;26;0;0;
15411;49.1641;6.9977;RCP8.5;H1;16;2;0;22;3;0;4.57;7.82;41;9;1;0;27;0;0;
15415;49.1463;7.4352;RCP8.5;H1;12;3;0;18;3;0;4.13;6.8;35;8;1;0;20;2;0;
15524;49.3187;3.7108;RCP8.5;H1;22;2;0;22;3;1;5.34;9.16;41;10;2;0;64;0;0;
15525;49.3174;3.8207;RCP8.5;H1;27;2;0;25;3;1;5.34;9.16;41;10;2;0;64;0;0;
15526;49.316;3.9307;RCP8.5;H1;27;2;0;25;3;1;5.4;9.32;41;10;2;0;67;0;0;
15527;49.3145;4.0406;RCP8.5;H1;29;2;0;26;4;1;5.55;9.4;42;11;2;0;75;2;0;
15528;49.3129;4.1505;RCP8.5;H1;33;2;0;27;4;1;4.31;7.08;32;6;1;0;56;0;0;
15529;49.3112;4.2604;RCP8.5;H1;24;2;0;19;2;0;4.37;7.2;32;6;1;0;56;0;0;
15530;49.3094;4.3703;RCP8.5;H1;24;2;0;19;2;0;4.3;6.91;31;7;1;0;38;0;0;
15531;49.3075;4.4801;RCP8.5;H1;17;1;0;18;3;1;4.23;6.8;31;7;1;0;35;0;0;
15532;49.3055;4.59;RCP8.5;H1;16;1;0;18;3;0;4.16;6.76;31;6;1;0;36;0;0;
15533;49.3034;4.6999;RCP8.5;H1;16;1;0;17;3;1;4.32;7.06;32;7;1;0;41;0;0;
15534;49.3012;4.8097;RCP8.5;H1;18;1;0;18;3;1;4.07;6.63;33;7;1;0;25;0;0;
15535;49.2988;4.9196;RCP8.5;H1;12;1;0;17;2;0;3.93;6.44;32;6;1;0;23;0;0;
15536;49.2964;5.0294;RCP8.5;H1;11;1;0;16;2;0;4.54;7.69;38;8;1;0;22;0;0;
15537;49.2939;5.1392;RCP8.5;H1;12;1;0;20;3;0;4.38;7.36;36;8;1;0;21;0;0;
15538;49.2913;5.249;RCP8.5;H1;12;1;0;18;3;1;4.52;7.72;36;8;1;0;28;1;0;
15539;49.2886;5.3588;RCP8.5;H1;15;2;0;19;3;1;4.3;7.25;35;7;1;0;22;1;0;
15540;49.2858;5.4686;RCP8.5;H1;13;2;0;17;3;1;4.33;7.48;35;7;1;0;26;1;0;
15541;49.2829;5.5784;RCP8.5;H1;15;2;0;18;3;0;4.47;7.81;36;7;1;0;30;1;0;
15542;49.2799;5.6882;RCP8.5;H1;16;2;0;19;2;0;4.31;7.22;35;8;1;0;23;2;0;
15543;49.2767;5.7979;RCP8.5;H1;14;2;0;18;3;0;4.69;7.91;39;9;1;0;29;2;0;
15544;49.2735;5.9077;RCP8.5;H1;17;3;0;20;3;1;4.77;8.1;40;10;1;0;31;2;0;
15545;49.2702;6.0174;RCP8.5;H1;18;3;0;21;3;1;4.38;7.41;39;8;1;0;22;2;0;
15546;49.2668;6.1271;RCP8.5;H1;15;2;0;19;3;1;5.2;9.01;45;11;1;0;41;3;0;
15547;49.2633;6.2368;RCP8.5;H1;22;3;0;26;4;1;5.26;9.13;45;11;1;0;42;3;0;
15548;49.2597;6.3465;RCP8.5;H1;23;3;0;26;4;1;4.57;7.54;42;10;1;0;27;1;0;
15549;49.256;6.4561;RCP8.5;H1;16;2;0;21;3;0;4.84;8.12;44;10;1;0;31;1;0;
15550;49.2521;6.5658;RCP8.5;H1;18;2;0;23;4;1;4.59;7.59;42;10;1;0;28;1;0;
15551;49.2482;6.6754;RCP8.5;H1;16;2;0;21;3;1;4.77;8.12;44;10;1;0;30;1;0;
15669;49.3879;3.9329;RCP8.5;H1;24;2;0;25;4;1;5.31;8.99;42;11;2;0;55;0;0;
15670;49.3864;4.043;RCP8.5;H1;24;2;0;25;4;1;4.52;7.48;34;7;1;0;64;1;0;
15671;49.3848;4.153;RCP8.5;H1;29;2;0;20;2;0;4.46;7.37;33;7;1;0;61;0;0;
15672;49.3831;4.2631;RCP8.5;H1;28;2;0;19;2;0;4.33;6.93;32;7;1;0;41;0;0;
15673;49.3812;4.3731;RCP8.5;H1;18;2;0;19;3;1;4.34;6.99;32;7;1;0;39;0;0;
15674;49.3793;4.4831;RCP8.5;H1;17;1;0;19;3;1;4.29;6.9;31;7;1;0;37;0;0;
15675;49.3773;4.5932;RCP8.5;H1;17;1;0;18;3;1;4.25;6.93;31;7;1;0;39;0;0;
15676;49.3752;4.7032;RCP8.5;H1;17;1;0;18;3;1;4.37;7.16;32;7;1;0;43;0;0;
15677;49.373;4.8132;RCP8.5;H1;18;1;0;19;3;1;3.88;6.27;32;6;1;0;20;0;0;
15678;49.3707;4.9232;RCP8.5;H1;10;1;0;16;2;0;3.96;6.42;32;6;1;0;24;0;0;
15679;49.3683;5.0332;RCP8.5;H1;11;1;0;16;2;0;3.73;5.91;30;6;1;0;18;0;0;
15680;49.3657;5.1431;RCP8.5;H1;10;1;0;15;2;1;4.47;7.6;37;8;1;0;23;0;0;
15681;49.3631;5.2531;RCP8.5;H1;13;2;0;19;2;1;4.37;7.41;36;7;1;0;23;0;0;
15682;49.3604;5.3631;RCP8.5;H1;13;2;0;18;2;1;4.36;7.54;35;7;1;0;29;1;0;
15683;49.3576;5.473;RCP8.5;H1;15;2;0;18;2;0;4.47;7.72;36;8;1;0;28;1;0;
15684;49.3547;5.5829;RCP8.5;H1;15;2;0;19;3;0;4.37;7.5;36;8;1;0;24;2;0;
15685;49.3517;5.6929;RCP8.5;H1;15;2;0;19;3;0;4.23;7.16;34;8;1;0;21;2;0;
15686;49.3485;5.8028;RCP8.5;H1;14;2;0;18;2;0;4.46;7.4;37;9;1;0;25;2;0;
15687;49.3453;5.9127;RCP8.5;H1;16;2;0;19;3;1;4.48;7.46;37;9;1;0;25;2;0;
15688;49.342;6.0225;RCP8.5;H1;16;2;0;20;3;1;4.32;7.27;38;8;1;0;22;2;0;
15689;49.3386;6.1324;RCP8.5;H1;15;2;0;19;3;1;5.34;9.32;46;11;1;0;45;3;0;
15690;49.3351;6.2422;RCP8.5;H1;23;3;0;27;4;1;5.27;9.16;46;11;1;0;43;3;0;
15691;49.3315;6.3521;RCP8.5;H1;23;3;0;26;4;1;4.64;7.69;42;10;1;0;28;1;0;
15692;49.3277;6.4619;RCP8.5;H1;17;2;0;21;3;0;4.72;7.87;43;10;1;0;31;2;0;
15693;49.3239;6.5717;RCP8.5;H1;17;2;0;22;3;1;4.73;7.9;43;10;1;0;31;2;0;
15814;49.4566;4.1556;RCP8.5;H1;20;2;0;19;3;0;4.43;7.13;33;8;1;0;45;0;0;
15815;49.4549;4.2658;RCP8.5;H1;20;2;0;19;3;0;4.33;6.98;32;7;1;0;43;0;0;
15816;49.4531;4.376;RCP8.5;H1;19;1;0;19;3;0;4.33;7.07;32;7;1;0;40;0;0;
15817;49.4512;4.4861;RCP8.5;H1;17;1;0;18;3;0;4.34;7.08;32;7;1;0;40;0;0;
15818;49.4491;4.5963;RCP8.5;H1;17;1;0;18;3;0;4.42;7.33;33;7;1;0;43;0;0;
15819;49.447;4.7065;RCP8.5;H1;19;2;0;19;3;1;4.1;6.89;33;6;1;0;24;0;0;
15820;49.4448;4.8167;RCP8.5;H1;12;1;0;17;2;0;3.89;6.37;32;6;1;0;20;0;0;
15821;49.4425;4.9268;RCP8.5;H1;10;1;0;16;2;0;3.88;6.33;31;6;1;0;23;1;0;
15822;49.4401;5.037;RCP8.5;H1;11;1;0;15;2;1;3.69;5.87;30;5;1;0;19;0;0;
15823;49.4376;5.1471;RCP8.5;H1;10;1;0;14;2;1;4.57;7.76;37;7;2;0;29;1;0;
15824;49.4349;5.2572;RCP8.5;H1;14;2;0;19;2;1;4.56;7.86;37;8;2;0;29;1;0;
15825;49.4322;5.3673;RCP8.5;H1;15;2;0;19;2;1;4.5;7.85;36;7;1;0;32;1;0;
15826;49.4294;5.4774;RCP8.5;H1;16;2;0;19;2;0;4.34;7.4;34;7;1;0;25;1;0;
15827;49.4265;5.5875;RCP8.5;H1;15;2;0;18;3;1;4.21;7.04;34;8;1;0;20;2;0;
15828;49.4235;5.6976;RCP8.5;H1;14;2;0;17;3;0;4.68;7.98;39;10;2;0;32;2;0;
15829;49.4203;5.8076;RCP8.5;H1;17;3;0;21;3;1;4.3;7.15;36;8;1;0;22;2;0;
15830;49.4171;5.9177;RCP8.5;H1;14;2;0;18;2;1;3.93;6.45;33;7;1;0;18;2;0;
15831;49.4138;6.0277;RCP8.5;H1;12;2;0;15;2;0;3.96;6.53;34;7;1;0;18;2;0;
15832;49.4104;6.1377;RCP8.5;H1;12;2;0;16;2;0;5.08;8.76;43;10;1;0;37;2;0;
15833;49.4069;6.2477;RCP8.5;H1;20;3;0;24;3;0;5.41;9.48;46;11;1;0;44;4;0;
15834;49.4032;6.3577;RCP8.5;H1;23;4;0;26;4;1;4.61;7.66;42;10;1;0;28;1;0;
15835;49.3995;6.4677;RCP8.5;H1;16;2;0;21;3;0;4.5;7.42;41;10;1;0;26;1;0;
15957;49.5284;4.1581;RCP8.5;H1;24;2;0;25;4;1;4.42;7.18;33;8;1;0;44;0;0;
15958;49.5267;4.2685;RCP8.5;H1;20;2;0;19;3;1;4.47;7.28;33;7;1;0;48;0;0;
15959;49.5249;4.3788;RCP8.5;H1;20;2;0;20;3;0;4.48;7.51;33;7;1;0;43;0;0;
15960;49.523;4.4892;RCP8.5;H1;19;2;0;20;3;0;3.86;6.23;31;6;1;0;21;0;0;
15961;49.521;4.5995;RCP8.5;H1;12;1;0;16;2;0;3.8;6.25;29;5;1;0;19;0;0;
15962;49.5189;4.7098;RCP8.5;H1;11;1;0;14;2;0;3.92;6.46;32;6;1;0;20;0;0;
15963;49.5166;4.8201;RCP8.5;H1;11;1;0;16;2;0;3.89;6.37;32;6;1;0;20;0;0;
15964;49.5143;4.9304;RCP8.5;H1;10;1;0;16;2;0;3.79;6.13;30;6;1;0;21;0;0;
15965;49.5119;5.0407;RCP8.5;H1;10;1;0;14;2;1;3.89;6.38;31;6;1;0;24;1;0;
15966;49.5094;5.151;RCP8.5;H1;12;2;0;15;2;0;4.63;7.9;37;7;2;0;31;1;0;
15967;49.5068;5.2613;RCP8.5;H1;15;2;0;19;3;1;4.53;7.7;37;8;2;0;27;1;0;
15968;49.504;5.3716;RCP8.5;H1;13;2;0;19;3;1;4.41;7.51;35;7;1;0;28;1;0;
15969;49.5012;5.4818;RCP8.5;H1;14;2;0;18;2;0;4.27;7.27;34;7;1;0;23;1;0;
15970;49.4983;5.592;RCP8.5;H1;13;2;0;17;2;0;3.88;6.44;31;6;1;0;16;1;0;
15971;49.4953;5.7023;RCP8.5;H1;10;1;0;15;2;0;3.88;6.44;31;6;1;0;16;1;0;
15972;49.4921;5.8125;RCP8.5;H1;10;1;0;15;2;0;4.16;6.98;35;7;1;0;22;2;0;
15973;49.4889;5.9227;RCP8.5;H1;13;2;0;17;2;0;3.93;6.6;34;6;1;0;18;2;0;
15975;49.4822;6.143;RCP8.5;H1;12;2;0;17;2;0;4.34;7.4;38;8;1;0;22;1;0;
15976;49.4786;6.2532;RCP8.5;H1;13;2;0;18;2;0;4.63;8.1;41;8;1;0;26;2;0;
16099;49.6019;4.0502;RCP8.5;H1;23;2;0;25;4;1;4.34;7;32;7;1;0;42;0;0;
16100;49.6003;4.1607;RCP8.5;H1;19;1;0;19;3;1;3.7;5.75;30;6;1;0;21;0;0;
16101;49.5986;4.2712;RCP8.5;H1;9;1;0;15;2;0;3.73;5.81;30;7;1;0;21;0;0;
16102;49.5967;4.3817;RCP8.5;H1;10;1;0;15;2;0;3.8;6.09;30;6;1;0;20;0;0;
16103;49.5948;4.4922;RCP8.5;H1;11;1;0;15;2;0;3.63;5.72;29;6;1;0;17;0;0;
16104;49.5928;4.6027;RCP8.5;H1;9;1;0;14;2;0;3.5;5.63;26;4;1;0;15;0;0;
16105;49.5907;4.7132;RCP8.5;H1;9;0;0;13;2;0;3.47;5.53;26;4;1;0;15;0;0;
16106;49.5885;4.8236;RCP8.5;H1;9;1;0;12;2;0;3.94;6.55;31;6;1;0;20;0;0;
16107;49.5861;4.9341;RCP8.5;H1;11;1;0;16;2;0;3.76;6.03;29;6;1;0;19;1;0;
16108;49.5837;5.0445;RCP8.5;H1;11;2;0;14;2;0;3.84;6.24;30;6;1;0;22;1;0;
16109;49.5812;5.155;RCP8.5;H1;11;2;0;14;2;0;3.75;6.06;30;6;1;0;21;1;0;
16110;49.5786;5.2654;RCP8.5;H1;10;2;0;14;2;0;3.81;6.2;30;6;1;0;21;1;0;
16111;49.5758;5.3758;RCP8.5;H1;10;2;0;14;2;0;4.33;7.35;35;7;1;0;29;1;0;
16243;49.6721;4.1632;RCP8.5;H1;9;1;0;16;2;0;3.55;5.51;28;5;1;0;17;0;0;
16244;49.6704;4.2739;RCP8.5;H1;9;1;0;14;2;0;3.61;5.62;28;5;1;0;18;0;0;
16245;49.6686;4.3846;RCP8.5;H1;10;1;0;14;2;0;3.6;5.79;27;5;1;0;16;0;0;
16246;49.6666;4.4952;RCP8.5;H1;10;1;0;13;2;0;3.44;5.46;26;5;1;0;14;0;0;
16247;49.6646;4.6059;RCP8.5;H1;9;1;0;12;1;0;3.46;5.57;26;4;1;0;15;0;0;
16248;49.6625;4.7165;RCP8.5;H1;9;1;0;12;1;0;3.41;5.37;26;4;1;0;15;0;0;
16249;49.6603;4.8271;RCP8.5;H1;8;1;0;12;2;0;3.83;6.28;30;6;1;0;17;0;0;
16250;49.6579;4.9377;RCP8.5;H1;10;1;0;15;2;0;3.81;6.19;30;6;1;0;18;1;0;
16251;49.6555;5.0484;RCP8.5;H1;11;2;0;15;2;0;3.95;6.61;31;6;1;0;21;2;0;
16252;49.653;5.1589;RCP8.5;H1;11;2;0;15;2;0;3.93;6.44;31;6;1;0;23;1;0;
16253;49.6504;5.2695;RCP8.5;H1;11;2;0;15;2;0;3.68;5.9;29;6;1;0;17;1;0;
16387;49.7422;4.2766;RCP8.5;H1;8;1;0;14;2;0;3.39;5.3;26;4;1;0;12;0;0;
16388;49.7404;4.3875;RCP8.5;H1;8;1;0;11;2;0;3.4;5.41;26;4;1;0;13;0;0;
