"ID","volume","SurfTerr","Perc10","Perc15","Perc20","Perc25","Perc30","Perc35","Perc40","Perc45","Perc50","Perc55","Perc60","Perc65","Perc70","Perc75","Perc80","Perc85","Perc90_","Perc95","Cum1","Cum2","Cum3","Cum4","Cum5","Cum6","Cum7","Cum8","Cum9","Hsd","Hskew","Hkurt","Hentropy","Hmean"
205,257.296669189422,39.1875967996593,6.45,7.7345,8.76,10.11,11.467,12.64,13.43,14.26,15.045,15.6665,16.238,16.9395,17.8,18.69,19.73,20.6855,21.73,22.95,1.12113087984402,6.45868876431879,15.2083841091884,25.9809895198635,37.0948086765781,54.5941993663173,72.556665854253,85.6933950767731,96.6609797708993,5.59579120801337,-0.240519690855028,2.21647988190482,0.930236226151555,14.4234186159844
206,184.69831258558,17.2837126614569,9.006,11.349,12.822,14.345,15.68,16.92,17.74,18.62,19.25,19.87,20.456,21.05,21.752,22.38,22.928,23.621,24.608,25.877,3.0690537084399,6.94799658994032,11.2958226768968,20.3324808184143,31.3725490196078,50.76726342711,77.4936061381074,94.7570332480818,98.7638533674339,6.19460751922528,-0.734439717858979,3.08568594447573,0.888620892453604,17.9273242437154
207,491.333229493994,43.8502910852523,12.538,13.6,14.518,15.29,15.972,16.58,17.05,17.51,18.06,18.497,18.97,19.41,19.92,20.46,21.022,21.71,22.616,23.753,0.359367513176809,1.22184954480115,2.01245807379013,5.89362721609966,15.3569717297556,33.5409678965022,62.1705797795879,85.697172975563,97.292764734068,4.09741509423634,-0.652403794550252,3.90243470254901,0.836631564159163,17.667925748503
208,700.067725900981,55.3683141654452,14.05,16.0635,17.59,18.6725,19.58,20.42,21.19,21.95,22.64,23.3,23.94,24.54,25.13,25.82,26.48,27.21,27.971,29.05,0.85816820096739,3.05819940708379,5.46107036979248,8.70650647526915,15.7902948978,30.3323451396474,52.1766266188173,77.7344359494461,96.8013730691216,5.85267379676355,-1.03694009073783,4.05361037049477,0.876131149629613,21.5944305772231
209,417.611942759956,40.0480420766805,11.722,13.4,14.35,15.275,16.2,16.85,17.53,18.06,18.6,19.15,19.75,20.33,20.97,21.57,22.24,22.99,23.98,25.51,0.639942042984786,2.9340738951944,5.73532963052403,11.7362955807776,26.4670369475972,50.6157932866457,76.8413426708525,93.0813813088626,98.4907027288095,5.0533046377787,-0.591654126258101,3.61900450698064,0.86224487390276,18.1564505613908
210,74.7311912525172,7.9603978529815,2.77,3.17,3.576,4.07,4.704,5.658,7.96,10.686,12.83,15.542,19.818,21.482,23.226,24.88,26.09,27.178,28.41,29.916,16.9820245979186,37.5354777672658,43.9687795648061,51.3245033112583,56.6698202459792,60.6906338694418,70.6244087038789,83.7275307473983,95.9791863765374,10.2305532778038,0.198797351075652,1.44603435439158,0.901694759382511,14.5650130054386
211,532.863509411452,43.0297548093936,14.855,16.9425,18.02,18.99,19.76,20.43,21.07,21.6575,22.265,22.8325,23.39,23.96,24.61,25.21,25.92,26.75,27.86,29.1,0.618075801749271,2.62390670553936,4.92128279883382,8.0932944606414,14.2274052478134,32.5947521865889,60.8163265306122,85.3644314868805,97.6209912536443,5.48625821079935,-1.00066177764892,4.37707024768822,0.856327838739165,21.5613992537313
212,374.758678331475,35.1837328170202,10.186,12.54,13.74,14.91,15.85,16.61,17.272,17.85,18.45,19.01,19.59,20.25,20.87,21.51,22.24,23.13,24.36,26.001,1.36919790250534,5.38939599922315,9.94367838415226,18.6541075937075,36.7547096523597,64.769858224898,87.2208195766168,97.0091279860167,99.4173625946786,5.54905598695195,-0.539155891395716,3.31435890569983,0.871913481969563,17.8505893776095
213,353.577889788061,27.7600092523783,4.905,6.57,7.73,8.8675,10.06,10.8925,11.78,12.7075,13.9,14.7925,16.01,17.3475,19.795,23.28,25.8,28.4875,31.52,35.225,8.77448237269166,24.9916060436486,47.5321768326805,65.7190822607722,73.1729155008394,81.1191941801903,89.2669278119754,95.400111919418,99.1717963066592,9.7654900223555,0.690461117053426,2.54265439202955,0.92024676794986,16.2046810653536
214,597.542106278288,40.8296489548631,21.22,23.1565,24.614,25.7275,26.623,27.47,28.15,28.76,29.3,29.8105,30.27,30.7,31.097,31.45,31.75,32.02,32.31,32.74,0.325530925437917,1.00759572159355,1.9996899705472,3.08479305534026,5.25499922492637,9.23887769338087,18.1522244613238,36.4284607037669,70.004650441792,5.31816070504427,-1.90584558595226,7.42189142109197,0.772802021244804,27.7057021078735
215,207.563335754904,23.8499222424591,9.81,11.44,12.758,13.68,14.45,15.2,15.94,16.52,17.11,17.8,18.54,19.48,20.333,21.31,22.482,23.95,25.471,27.28,1.02337481102454,4.32608442842191,8.75683218978951,17.8043958599837,35.5157576462379,58.3323642283987,75.2761949063845,86.6496104198163,95.5576229794162,5.91331672671296,-0.149540200219954,2.74743625795775,0.917266187738252,17.3046581395349
216,823.0202503424,55.1356613679332,7.06,8.75,10.62,13.3,16.03,18.19,19.97,21.61,24.11,25.71,27.71,29.07,30.47,31.82,33.67,35.14,36.98,39.42,4.79674796747967,17.2256097560976,26.6666666666667,37.0833333333333,48.9024390243902,62.2967479674797,78.7093495934959,91.6768292682927,98.8922764227642,11.1058619771794,-0.134777884538789,1.90383971293459,0.953841611166068,22.8742658266436
217,63.9284913410662,11.3842587866644,5.3,6.9285,7.88,8.72,9.59,10.21,10.99,11.56,12.11,12.5445,12.94,13.42,13.78,14.2225,14.72,15.24,16.03,16.9205,0,7.0254822576804,11.2407716122886,19.409383186473,31.0550130983568,45.6775422719695,67.6351512264825,87.3065015479876,97.6899261728983,3.9753835805012,-0.578004094705282,2.63705340154895,0.894300217790334,11.3094428571429
218,167.070441363146,19.2881893975602,6.93,8.8025,10.25,11.215,12.135,12.9625,13.72,14.3475,14.92,15.5325,15.93,16.2975,16.66,16.97,17.22,17.49,17.85,18.36,0,5.09240246406571,8.13141683778234,12.8542094455852,19.2197125256674,29.4866529774127,42.9568788501027,61.9712525667351,92.4845995893224,4.2766354638167,-1.00189609092804,3.15284114865363,0.863212890557344,13.6207799671593
